Shot 3: Jarak=2.77, Desnivel=-0.23, Fator=235, Wind=0, Sudut=56.0, Power=1.31
Shot 4: Jarak=2.77, Desnivel=-0.23, Fator=235, Wind=0, Sudut=56.0, Power=1.31
Shot 1: Jarak=0.00, Desnivel=0.00, Fator=12660, Wind=101, Sudut=60.0, Power=-2146826281.00
Shot 1: Jarak=9.19, Desnivel=0.14, Fator=252, Wind=10, Sudut=60.0, Power=2.73
Shot 1: Jarak=8.83, Desnivel=-0.09, Fator=87, Wind=4, Sudut=60.0, Power=2.43
Shot 1: Jarak=5.51, Desnivel=-0.30, Fator=134, Wind=21, Sudut=60.0, Power=2.14
Shot 2: Jarak=5.49, Desnivel=-0.61, Fator=134, Wind=20, Sudut=60.0, Power=2.11
Shot 3: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=60.0, Power=2.10
Shot 4: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=60.0, Power=2.10
Shot 5: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=60.0, Power=2.10
Shot 6: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=61.0, Power=2.14
Shot 7: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=61.0, Power=2.14
Shot 8: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=20, Sudut=62.0, Power=2.19
Shot 9: Jarak=5.48, Desnivel=-0.68, Fator=134, Wind=21, Sudut=70.0, Power=2.86
Shot 1: Jarak=5.48, Desnivel=-0.99, Fator=134, Wind=20, Sudut=60.0, Power=2.09
Shot 2: Jarak=5.48, Desnivel=-0.99, Fator=147, Wind=21, Sudut=70.0, Power=3.15
Shot 3: Jarak=5.48, Desnivel=-1.37, Fator=147, Wind=20, Sudut=70.0, Power=3.06
Shot 4: Jarak=3.96, Desnivel=-0.21, Fator=313, Wind=6, Sudut=80.0, Power=2.44
Shot 5: Jarak=3.96, Desnivel=-0.21, Fator=313, Wind=7, Sudut=80.0, Power=2.41
Shot 6: Jarak=3.92, Desnivel=-0.23, Fator=313, Wind=8, Sudut=80.0, Power=2.37
Shot 7: Jarak=3.92, Desnivel=-0.30, Fator=313, Wind=7, Sudut=80.0, Power=2.39
Shot 8: Jarak=3.85, Desnivel=-0.49, Fator=313, Wind=6, Sudut=80.0, Power=2.38
Shot 9: Jarak=3.92, Desnivel=-0.63, Fator=313, Wind=7, Sudut=80.0, Power=2.37
Shot 1: Jarak=2.20, Desnivel=-0.02, Fator=135, Wind=7, Sudut=60.0, Power=1.27
Shot 1: Jarak=2.20, Desnivel=-0.02, Fator=135, Wind=7, Sudut=60.0, Power=1.27
Shot 1: Jarak=2.20, Desnivel=-0.02, Fator=39, Wind=19, Sudut=60.0, Power=1.03
Shot 1: Jarak=2.20, Desnivel=-0.02, Fator=149, Wind=22, Sudut=60.0, Power=1.46
Shot 2: Jarak=2.14, Desnivel=0.01, Fator=149, Wind=20, Sudut=60.0, Power=1.41
